Region,County District - District Name,Initial Allocation (2/3),Remaining Allocation (1/3),Total Allocation,
7,201903  LANEVILLE ISD,"250,161","125,081","375,242",
12,109913  BLUM ISD,"247,980","123,990","371,970",
15,233903  COMSTOCK ISD,"245,413","122,707","368,120",
6,236801  RAVEN SCHOOL,"244,893","122,447","367,340",
9,119903  PERRIN-WHITT CISD,"244,653","122,326","366,979",
16,006902  CLAUDE ISD,"240,030","120,015","360,045",
16,065902  HEDLEY ISD,"236,683","118,342","355,025",
17,173901  MOTLEY COUNTY ISD,"235,793","117,896","353,689",
5,100908  WEST HARDIN COUNTY CISD,"234,492","117,246","351,738",
16,090903  MCLEAN ISD,"234,432","117,216","351,648",
9,138904  BENJAMIN ISD,"232,806","116,403","349,209",
20,128904  FALLS CITY ISD,"232,051","116,025","348,076",
16,219901  HAPPY ISD,"230,525","115,262","345,787",
16,056902  TEXLINE ISD,"229,625","114,812","344,437",
17,085903  SOUTHLAND ISD,"228,849","114,425","343,274",
15,025904  BLANKET ISD,"227,729","113,864","341,593",
10,057919  SUNNYVALE ISD,"227,619","113,809","341,428",
6,228904  CENTERVILLE ISD,"227,323","113,662","340,985",
9,224901  THROCKMORTON COLLEGIATE ISD,"226,953","113,476","340,429",
14,208901  HERMLEIGH ISD,"226,413","113,206","339,619",
12,109903  COVINGTON ISD,"223,956","111,978","335,934",
10,070909  MILFORD ISD,"220,329","110,165","330,494",
17,095902  COTTON CENTER ISD,"218,843","109,422","328,265",
14,221905  TRENT ISD,"217,848","108,924","326,772",
14,104907  PAINT CREEK ISD,"216,597","108,299","324,896",
11,182905  STRAWN ISD,"215,387","107,693","323,080",
17,058902  DAWSON ISD,"214,041","107,020","321,061",
14,217901  ASPERMONT ISD,"213,741","106,870","320,611",
10,074911  SAVOY ISD,"210,113","105,057","315,170",
16,148901  BOOKER ISD,"209,618","104,809","314,427",
10,074904  DODD CITY ISD,"209,028","104,514","313,542",
15,200906  OLFEN ISD,"208,948","104,474","313,422",
8,112910  SULPHUR BLUFF ISD,"208,102","104,051","312,153",
14,177905  HIGHLAND ISD,"207,952","103,976","311,928",
11,182906  PALO PINTO ISD,"207,862","103,931","311,793",
17,083902  LOOP ISD,"207,747","103,874","311,621",
12,"018906 
IREDELL ISD","206,807","103,403","310,210",
15,206902  RICHLAND SPRINGS ISD,"206,661","103,331","309,992",
16,023902  SILVERTON ISD,"204,635","102,318","306,953",
9,224902  WOODSON ISD,"203,095","101,547","304,642",
11,072901  THREE WAY ISD,"202,935","101,467","304,402",
12,109902  BYNUM ISD,"201,319","100,659","301,978",
12,109912  AQUILLA ISD,"200,653","100,327","300,980",
11,182901  GORDON ISD,"199,807","99,904","299,711",
11,049902  MUENSTER ISD,"199,393","99,696","299,089",
9,169909  PRAIRIE VALLEY ISD,"196,536","98,268","294,804",
12,018908  CRANFILLS GAP ISD,"196,241","98,120","294,361",
11,049907  LINDSAY ISD,"194,550","97,275","291,825",
9,005904  WINDTHORST ISD,"193,945","96,972","290,917",
8,019913  HUBBARD ISD,"192,774","96,387","289,161",
9,169906  GOLD BURG ISD,"191,808","95,904","287,712",
17,063906  PATTON SPRINGS ISD,"191,648","95,824","287,472",
11,249908  SLIDELL ISD,"191,073","95,536","286,609",
10,043908  MELISSA ISD,"190,463","95,231","285,694",
4,101807  UNIVERSITY OF HOUSTON CHARTER SCHOOL,"188,827","94,413","283,240",
3,158904  MATAGORDA ISD,"188,341","94,171","282,512",
16,185904  LAZBUDDIE ISD,"186,991","93,495","280,486",
15,025908  BROOKESMITH ISD,"185,625","92,812","278,437",
3,062902  NORDHEIM ISD,"184,539","92,270","276,809",
12,081906  DEW ISD,"183,479","91,739","275,218",
3,062906  MEYERSVILLE ISD,"183,243","91,622","274,865",
16,033904  WHITE DEER ISD,"182,388","91,194","273,582",
9,169908  MONTAGUE ISD,"180,652","90,326","270,978",
17,153905  NEW HOME ISD,"179,861","89,931","269,792",
12,109908  MALONE ISD,"179,381","89,691","269,072",
8,019914  LEARY ISD,"177,830","88,915","266,745",
20,015833  HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,"177,620","88,810","266,430",
19,115903  DELL CITY ISD,"176,785","88,392","265,177",
13,227821  AUSTIN DISCOVERY SCHOOL,"176,689","88,345","265,034",
3,062905  WESTHOFF ISD,"175,074","87,537","262,611",
18,222901  TERRELL COUNTY ISD,"174,719","87,359","262,078",
13,246914  COUPLAND ISD,"173,538","86,769","260,307",
16,098901  GRUVER ISD,"171,542","85,771","257,313",
14,047905  SIDNEY ISD,"170,621","85,311","255,932",
14,127905  LUEDERS-AVOCA ISD,"170,421","85,211","255,632",
9,169910  FORESTBURG ISD,"169,861","84,930","254,791",
7,210906  EXCELSIOR ISD,"166,674","83,337","250,011",
19,115902  SIERRA BLANCA ISD,"163,552","81,776","245,328",
18,238904  GRANDFALLS-ROYALTY ISD,"163,057","81,528","244,585",
16,148905  DARROUZETT ISD,"162,862","81,431","244,293",
4,101876  REVE PREPARATORY CHARTER SCHOOL,"161,461","80,731","242,192",
4,146903  DEVERS ISD,"161,271","80,635","241,906",
12,167904  PRIDDY ISD,"158,359","79,180","237,539",
10,070901  AVALON ISD,"157,644","78,822","236,466",
15,160905  LOHN ISD,"156,929","78,464","235,393",
15,"118902 
IRION COUNTY ISD","156,168","78,084","234,252",
12,161924  HALLSBURG ISD,"155,708","77,854","233,562",
3,235904  NURSERY ISD,"154,877","77,439","232,316",
11,072908  HUCKABAY ISD,"154,247","77,123","231,370",
16,180902  VEGA ISD,"150,690","75,345","226,035",
18,087901  GLASSCOCK COUNTY ISD,"150,465","75,232","225,697",
