Region,County District - District Name,Initial Allocation (2/3),Remaining Allocation (1/3),Total Allocation,
12,109914  PENELOPE ISD,"150,375","75,187","225,562",
9,244905  NORTHSIDE ISD,"149,685","74,842","224,527",
8,019910  MALTA ISD,"147,108","73,554","220,662",
11,184911  GARNER ISD,"144,477","72,238","216,715",
11,111801  LAKE GRANBURY ACADEMY CHARTER SCHOOL,"143,366","71,683","215,049",
13,144903  DIME BOX ISD,"143,316","71,658","214,974",
16,033901  GROOM ISD,"139,584","69,792","209,376",
16,059902  WALCOTT ISD,"137,808","68,904","206,712",
16,035903  NAZARETH ISD,"136,412","68,206","204,618",
20,015906  RANDOLPH FIELD ISD,"134,011","67,005","201,016",
12,109901  ABBOTT ISD,"133,570","66,785","200,355",
13,075908  ROUND TOP-CARMINE ISD,"133,160","66,580","199,740",
16,148902  FOLLETT ISD,"133,105","66,553","199,658",
18,068802  COMPASS ACADEMY CHARTER SCHOOL,"132,860","66,430","199,290",
13,075906  FAYETTEVILLE ISD,"132,295","66,147","198,442",
18,231902  RANKIN ISD,"128,963","64,481","193,444",
16,103902  HARTLEY ISD,"127,962","63,981","191,943",
9,039905  MIDWAY ISD,"127,192","63,596","190,788",
5,084903  HIGH ISLAND ISD,"124,200","62,100","186,300",
11,072904  BLUFF DALE ISD,"123,305","61,652","184,957",
9,039904  BELLEVUE ISD,"120,688","60,344","181,032",
13,105801  KATHERINE ANNE PORTER SCHOOL,"116,881","58,440","175,321",
2,013902  PAWNEE ISD,"113,489","56,744","170,233",
17,132902  JAYTON-GIRARD ISD,"111,173","55,586","166,759",
16,180904  WILDORADO ISD,"107,151","53,575","160,726",
13,246801  MERIDIAN WORLD SCHOOL LLC,"106,295","53,147","159,442",
2,066005  RAMIREZ CSD,"106,145","53,072","159,217",
4,101875  BLOOM ACADEMY CHARTER SCHOOL,"105,615","52,807","158,422",
3,143906  EZZELL ISD,"105,505","52,752","158,257",
4,101878  HOUSTON CLASSICAL CHARTER SCHOOL,"99,531","49,766","149,297",
16,197902  MIAMI ISD,"96,379","48,190","144,569",
11,049909  SIVELLS BEND ISD,"92,702","46,351","139,053",
16,180903  ADRIAN ISD,"92,652","46,326","138,978",
18,068803  UTPB STEM ACADEMY,"91,792","45,896","137,688",
7,234801  RANCH ACADEMY,"91,297","45,648","136,945",
16,242905  KELTON ISD,"88,745","44,373","133,118",
11,184801  CROSSTIMBERS ACADEMY,"87,759","43,880","131,639",
16,211901  TEXHOMA ISD,"87,635","43,817","131,452",
11,049908  WALNUT BEND ISD,"86,524","43,262","129,786",
17,017901  BORDEN COUNTY ISD,"83,597","41,799","125,396",
13,246802  GOODWATER MONTESSORI SCHOOL,"83,312","41,656","124,968",
11,072910  MORGAN MILL ISD,"82,241","41,121","123,362",
16,117907  SPRING CREEK ISD,"81,701","40,851","122,552",
4,101842  COMQUEST ACADEMY,"75,347","37,674","113,021",
16,098903  PRINGLE-MORSE CISD,"74,567","37,284","111,851",
3,143905  SWEET HOME ISD,"73,821","36,911","110,732",
2,131001  KENEDY COUNTY WIDE CSD,"67,553","33,777","101,330",
3,143904  VYSEHRAD ISD,"67,418","33,709","101,127",
12,073904  WESTPHALIA ISD,"60,839","30,420","91,259",
11,220809  FORT WORTH ACADEMY OF FINE ARTS,"50,919","25,459","76,378",
18,122902  VALENTINE ISD,"48,803","24,401","73,204",
11,220814  TEXAS SCHOOL OF THE ARTS,"47,477","23,738","71,215",
18,022902  MARATHON ISD,"10,491","5,245","15,736",
13,227905  TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,"7,014","3,507","10,521",
